,Player,XPM,XPA,XP%,FGM,FGA,FG%,Pts,Punts,puntYds,puntAvg
0,Kurt Smith,22,24,91.7,7,12,58.3,43,0.0,0.0,
1,Stephen Gostkowski,159,165,96.4,70,92,76.1,369,,,
