,Player,tackleSolo,tackleAst,tackleTot,tackleLoss,Sk,defInt,defYds,defAvg,defIntTD,defIntPD,fumFR,fumYds,fumTD,fumFF
67,Kelly Jennings,24.0,8.0,32.0,3.0,1.0,6.0,37.0,6.2,0.0,,,,,
68,Kevin Simon,40.0,48.0,88.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
69,Kili Lefotu,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
70,Ko Simpson,72.0,31.0,103.0,2.5,0.0,7.0,110.0,15.7,1.0,,,76.0,2.0,
71,LaJuan Ramsey,19.0,21.0,40.0,5.5,1.0,,,,,0.0,1.0,19.0,0.0,0.0
72,Leon Williams,35.0,19.0,54.0,3.5,0.0,,,,,2.0,0.0,51.0,0.0,0.0
73,Manny Lawson,33.0,25.0,58.0,19.5,10.5,,,,,,,,,
74,Marcus Hudson,34.0,22.0,56.0,1.0,0.0,8.0,194.0,24.3,3.0,,,,,
75,Marcus Maxey,15.0,12.0,27.0,3.0,0.0,2.0,32.0,16.0,0.0,,,,,
76,Marcus McNeill,1.0,0.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
77,Mario Williams,32.0,30.0,62.0,24.0,14.5,,,,,,,,,
78,Mark Anderson,23.0,17.0,40.0,14.5,6.5,,,,,0.0,1.0,0.0,0.0,1.0
79,Mathias Kiwanuka,34.0,17.0,51.0,16.5,9.5,3.0,32.0,10.7,1.0,4.0,0.0,0.0,0.0,1.0
80,Melvin Oliver,33.0,31.0,64.0,11.0,9.0,1.0,27.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0
81,Michael Huff,44.0,43.0,87.0,9.0,2.0,7.0,162.0,23.1,4.0,,,21.0,1.0,
82,Montavious Stanley,29.0,20.0,49.0,10.0,6.0,,,,,1.0,1.0,56.0,1.0,1.0
83,Nate Salley,27.0,16.0,43.0,1.5,0.0,3.0,0.0,0.0,0.0,,,,,
84,Omar Gaither,50.0,28.0,78.0,8.0,4.0,2.0,20.0,10.0,0.0,1.0,0.0,0.0,0.0,4.0
85,Orien Harris,18.0,22.0,40.0,11.0,3.5,,,,,0.0,0.0,0.0,0.0,0.0
86,Parys Haralson,33.0,12.0,45.0,17.0,8.5,,,,,1.0,2.0,35.0,1.0,3.0
87,Pat Watkins,44.0,33.0,77.0,2.5,0.0,10.0,89.0,8.9,0.0,,,25.0,1.0,
88,Ray Edwards,22.0,6.0,28.0,11.0,5.5,1.0,0.0,0.0,0.0,,1.0,4.0,0.0,
89,Richard Marshall,57.0,21.0,78.0,1.0,0.0,9.0,305.0,33.9,0.0,,,,,
90,Rob Ninkovich,35.0,13.0,48.0,17.0,8.0,2.0,37.0,18.5,0.0,,,,,
91,Rodrique Wright,11.0,16.0,27.0,7.5,3.0,,,,,5.0,1.0,67.0,1.0,1.0
92,Roman Harper,35.0,34.0,69.0,6.5,0.5,5.0,76.0,15.2,0.0,,,0.0,1.0,
93,Ryan LaCasse,30.0,22.0,52.0,12.0,9.0,1.0,0.0,0.0,0.0,,,,,
94,Spencer Toone,52.0,61.0,113.0,5.0,2.5,,,,,,,,,
95,Stanley McClover,21.0,10.0,31.0,13.5,8.0,,,,,3.0,0.0,0.0,0.0,1.0
96,Stephen Tulloch,59.0,75.0,134.0,21.0,6.0,1.0,50.0,50.0,1.0,,,,,
97,TJ Rushing,37.0,11.0,48.0,0.5,0.0,4.0,96.0,24.0,0.0,,,,,
98,Tamba Hali,27.0,38.0,65.0,17.0,11.0,1.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0
99,Terna Nande,20.0,24.0,44.0,4.0,0.0,4.0,114.0,28.5,1.0,1.0,1.0,3.0,0.0,0.0
100,Tim Dobbins,48.0,55.0,103.0,7.5,1.0,3.0,65.0,21.7,0.0,,,,,
101,Tim Jennings,46.0,10.0,56.0,7.0,1.0,10.0,194.0,19.4,2.0,,,,,
102,Tim McGarigle,81.0,75.0,156.0,7.0,2.0,3.0,17.0,5.7,0.0,,,,,
103,Titus Adams,26.0,23.0,49.0,4.0,1.5,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
104,Tye Hill,35.0,8.0,43.0,4.0,0.0,5.0,33.0,6.6,0.0,,,,,
105,Tyrone Culver,23.0,21.0,44.0,2.0,2.0,5.0,72.0,14.4,0.0,,,30.0,1.0,
106,Vickiel Vaughn,46.0,20.0,66.0,2.0,0.0,7.0,105.0,15.0,1.0,,,,,
107,Victor Adeyanju,32.0,15.0,47.0,12.0,6.5,,,,,2.0,1.0,4.0,1.0,1.0
108,Zach Strief,0.0,1.0,1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
