,Player,Punts,puntYds,puntAvg,XPM,XPA,XP%,FGM,FGA,FG%,Pts
0,Ryan Plackemeier,220,9957,45.3,31.0,31.0,100.0,9.0,18.0,50.0,58.0
1,Sam Koch,134,5902,44.0,,,,,,,
